Sample file ID	Sample Number	Study ID	Sample Name	Barcode	ELISA date	Plate Number	Notes
							
1	1	XSEC	1	xs1	26.02.2016	1	
1	2	XSEC	2	xs2	26.02.2016	1	
1	3	XSEC	3	xs3	26.02.2016	1	
1	4	XSEC	4	xs4	26.02.2016	1	
1	5	XSEC	5	xs5	26.02.2016	1	
1	6	XSEC	6	xs6	26.02.2016	1	
1	7	XSEC	7	xs7	26.02.2016	1	
1	8	XSEC	8	xs8	26.02.2016	1	
1	9	XSEC	9	xs9	26.02.2016	1	
1	10	XSEC	10	xs10	26.02.2016	1	
1	11	XSEC	11	xs11	26.02.2016	1	
1	12	XSEC	12	xs12	26.02.2016	1	
1	13	XSEC	13	xs13	26.02.2016	1	
1	14	XSEC	14	xs14	26.02.2016	1	
1	15	XSEC	15	xs15	26.02.2016	1	
1	16	XSEC	16	xs16	26.02.2016	1	
1	17	XSEC	17	xs17	26.02.2016	1	
1	18	XSEC	18	xs18	26.02.2016	1	
1	19	XSEC	19	xs19	26.02.2016	1	
1	20	XSEC	20	xs20	26.02.2016	1	
1	21	XSEC	21	xs21	26.02.2016	1	
1	22	XSEC	22	xs22	26.02.2016	1	
1	23	XSEC	23	xs23	26.02.2016	1	
1	24	XSEC	24	xs24	26.02.2016	1	
1	25	XSEC	25	xs25	26.02.2016	1	
1	26	XSEC	26	xs26	26.02.2016	1	
1	27	XSEC	27	xs27	26.02.2016	1	
1	28	XSEC	28	xs28	26.02.2016	1	
1	29	XSEC	29	xs29	26.02.2016	1	
1	30	XSEC	30	xs30	26.02.2016	1	
1	31	XSEC	31	xs31	26.02.2016	1	
1	32	XSEC	32	xs32	26.02.2016	1	
1	33	XSEC	33	xs33	26.02.2016	1	
1	34	XSEC	34	xs34	26.02.2016	1	
1	35	XSEC	35	xs35	26.02.2016	1	
1	36	XSEC	36	xs36	26.02.2016	1	
1	37	XSEC	37	xs37	26.02.2016	1	
1	38	XSEC	38	xs38	26.02.2016	1	
1	39	XSEC	39	xs39	26.02.2016	1	
1	40	XSEC	40	xs40	26.02.2016	1	
							
2	1	XSEC	41	xs41	26.02.2016	2	
2	2	XSEC	42	xs42	26.02.2016	2	
2	3	XSEC	43	xs43	26.02.2016	2	
2	4	XSEC	44	xs44	26.02.2016	2	
2	5	XSEC	45	xs45	26.02.2016	2	
2	6	XSEC	46	xs46	26.02.2016	2	
2	7	XSEC	47	xs47	26.02.2016	2	
2	8	XSEC	48	xs48	26.02.2016	2	
2	9	XSEC	49	xs49	26.02.2016	2	
2	10	XSEC	50	xs50	26.02.2016	2	
2	11	XSEC	51	xs51	26.02.2016	2	
2	12	XSEC	52	xs52	26.02.2016	2	
2	13	XSEC	53	xs53	26.02.2016	2	
2	14	XSEC	54	xs54	26.02.2016	2	
2	15	XSEC	55	xs55	26.02.2016	2	
2	16	XSEC	56	xs56	26.02.2016	2	
2	17	XSEC	57	xs57	26.02.2016	2	
2	18	XSEC	58	xs58	26.02.2016	2	
2	19	XSEC	59	xs59	26.02.2016	2	
2	20	XSEC	60	xs60	26.02.2016	2	
2	21	XSEC	61	xs61	26.02.2016	2	
2	22	XSEC	62	xs62	26.02.2016	2	
2	23	XSEC	63	xs63	26.02.2016	2	
2	24	XSEC	64	xs64	26.02.2016	2	
2	25	XSEC	65	xs65	26.02.2016	2	
2	26	XSEC	66	xs66	26.02.2016	2	
2	27	XSEC	67	xs67	26.02.2016	2	
2	28	XSEC	68	xs68	26.02.2016	2	
2	29	XSEC	69	xs69	26.02.2016	2	
2	30	XSEC	70	xs70	26.02.2016	2	
2	31	XSEC	71	xs71	26.02.2016	2	
2	32	XSEC	72	xs72	26.02.2016	2	
2	33	XSEC	73	xs73	26.02.2016	2	
2	34	XSEC	74	xs74	26.02.2016	2	
2	35	XSEC	75	xs75	26.02.2016	2	
2	36	XSEC	76	xs76	26.02.2016	2	
2	37	XSEC	77	xs77	26.02.2016	2	
2	38	XSEC	78	xs78	26.02.2016	2	
2	39	XSEC	79	xs79	26.02.2016	2	
2	40	XSEC	80	xs80	26.02.2016	2	
							
3	1	XSEC	81	xs81	26.02.2016	3	
3	2	XSEC	82	xs82	26.02.2016	3	
3	3	XSEC	83	xs83	26.02.2016	3	
3	4	XSEC	84	xs84	26.02.2016	3	
3	5	XSEC	85	xs85	26.02.2016	3	
3	6	XSEC	86	xs86	26.02.2016	3	
3	7	XSEC	87	xs87	26.02.2016	3	
3	8	XSEC	88	xs88	26.02.2016	3	
3	9	XSEC	89	xs89	26.02.2016	3	
3	10	XSEC	90	xs90	26.02.2016	3	
3	11	XSEC	91	xs91	26.02.2016	3	
3	12	XSEC	92	xs92	26.02.2016	3	
3	13	XSEC	93	xs93	26.02.2016	3	
3	14	XSEC	94	xs94	26.02.2016	3	
3	15	XSEC	95	xs95	26.02.2016	3	
3	16	XSEC	96	xs96	26.02.2016	3	
3	17	XSEC	97	xs97	26.02.2016	3	
3	18	XSEC	98	xs98	26.02.2016	3	
3	19	XSEC	99	xs99	26.02.2016	3	
3	20	XSEC	100	xs100	26.02.2016	3	
3	21	XSEC	101	xs101	26.02.2016	3	
3	22	XSEC	102	xs102	26.02.2016	3	
3	23	XSEC	103	xs103	26.02.2016	3	
3	24	XSEC	104	xs104	26.02.2016	3	
3	25	XSEC	105	xs105	26.02.2016	3	
3	26	XSEC	106	xs106	26.02.2016	3	
3	27	XSEC	107	xs107	26.02.2016	3	
3	28	XSEC	108	xs108	26.02.2016	3	
3	29	XSEC	109	xs109	26.02.2016	3	
3	30	XSEC	110	xs110	26.02.2016	3	
3	31	XSEC	111	xs111	26.02.2016	3	
3	32	XSEC	112	xs112	26.02.2016	3	
3	33	XSEC	113	xs113	26.02.2016	3	
3	34	XSEC	114	xs114	26.02.2016	3	
3	35	XSEC	115	xs115	26.02.2016	3	
3	36	XSEC	116	xs116	26.02.2016	3	
3	37	XSEC	117	xs117	26.02.2016	3	
3	38	XSEC	118	xs118	26.02.2016	3	
3	39	XSEC	119	xs119	26.02.2016	3	
3	40	XSEC	120	xs120	26.02.2016	3	
							
4	1	XSEC	121	neg121	26.02.2016	4	
4	2	XSEC	122	neg122	26.02.2016	4	
4	3	XSEC	123	neg123	26.02.2016	4	
4	4	XSEC	124	neg124	26.02.2016	4	
4	5	XSEC	125	neg125	26.02.2016	4	
4	6	XSEC	126	neg126	26.02.2016	4	
4	7	XSEC	127	neg127	26.02.2016	4	
4	8	XSEC	128	neg128	26.02.2016	4	
4	9	XSEC	129	neg129	26.02.2016	4	
4	10	XSEC	130	neg130	26.02.2016	4	
4	11	XSEC	131	neg131	26.02.2016	4	
4	12	XSEC	132	neg132	26.02.2016	4	
4	13	XSEC	133	neg133	26.02.2016	4	
4	14	XSEC	134	neg134	26.02.2016	4	
4	15	XSEC	135	neg135	26.02.2016	4	
4	16	XSEC	136	neg136	26.02.2016	4	
4	17	XSEC	137	neg137	26.02.2016	4	
4	18	XSEC	138	neg138	26.02.2016	4	
4	19	XSEC	139	neg139	26.02.2016	4	
4	20	XSEC	140	neg140	26.02.2016	4	
4	21	XSEC	141	neg141	26.02.2016	4	
4	22	XSEC	142	neg142	26.02.2016	4	
4	23	XSEC	143	neg143	26.02.2016	4	
4	24	XSEC	144	neg144	26.02.2016	4	
4	25	XSEC	145	neg145	26.02.2016	4	
4	26	XSEC	146	neg146	26.02.2016	4	
4	27	XSEC	147	neg147	26.02.2016	4	
4	28	XSEC	148	neg148	26.02.2016	4	
4	29	XSEC	149	neg149	26.02.2016	4	
4	30	XSEC	150	neg150	26.02.2016	4	
4	31	XSEC	151	neg151	26.02.2016	4	
4	32	XSEC	152	neg152	26.02.2016	4	
4	33	XSEC	153	neg153	26.02.2016	4	
4	34	XSEC	154	neg154	26.02.2016	4	
4	35	XSEC	155	neg155	26.02.2016	4	
4	36	XSEC	156	neg156	26.02.2016	4	
4	37	XSEC	157	neg157	26.02.2016	4	
4	38	XSEC	158	neg158	26.02.2016	4	
4	39	XSEC	159	neg159	26.02.2016	4	
4	40	XSEC	160	neg160	26.02.2016	4	
